year,geo,type,rate
2008/09-2010/11,london,ahc,10.8
2008/09-2010/11,london,bhc,5.8
2008/09-2010/11,uk,ahc,5.5
2008/09-2010/11,uk,bhc,4.2
2008/09-2010/11,restuk,ahc,5.1
2008/09-2010/11,restuk,bhc,4
2009/10-2011/12,london,ahc,9.8
2009/10-2011/12,london,bhc,5.3
2009/10-2011/12,uk,ahc,5.5
2009/10-2011/12,uk,bhc,4.1
2009/10-2011/12,restuk,ahc,5.1
2009/10-2011/12,restuk,bhc,3.9
2010/11-2012/13,london,ahc,9.9
2010/11-2012/13,london,bhc,5.3
2010/11-2012/13,uk,ahc,5.4
2010/11-2012/13,uk,bhc,4
2010/11-2012/13,restuk,ahc,5.1
2010/11-2012/13,restuk,bhc,3.8
2011/12-2013/14,london,ahc,9.2
2011/12-2013/14,london,bhc,5.1
2011/12-2013/14,uk,ahc,5.5
2011/12-2013/14,uk,bhc,4
2011/12-2013/14,restuk,ahc,5.1
2011/12-2013/14,restuk,bhc,3.9
2012/13-2014/15,london,ahc,9.4
2012/13-2014/15,london,bhc,5
2012/13-2014/15,uk,ahc,5.5
2012/13-2014/15,uk,bhc,4
2012/13-2014/15,restuk,ahc,5.1
2012/13-2014/15,restuk,bhc,3.9
2013/14-2015/16,london,ahc,9.2
2013/14-2015/16,london,bhc,4.9
2013/14-2015/16,uk,ahc,5.5
2013/14-2015/16,uk,bhc,4
2013/14-2015/16,restuk,ahc,5.1
2013/14-2015/16,restuk,bhc,3.9
2014/15-2016/17,london,ahc,9.5
2014/15-2016/17,london,bhc,5
2014/15-2016/17,uk,ahc,5.5
2014/15-2016/17,uk,bhc,4
2014/15-2016/17,restuk,ahc,5.1
2014/15-2016/17,restuk,bhc,3.9
2015/16-2017/18,london,ahc,9.7
2015/16-2017/18,london,bhc,5.2
2015/16-2017/18,uk,ahc,5.5
2015/16-2017/18,uk,bhc,4.1
2015/16-2017/18,restuk,ahc,5.1
2015/16-2017/18,restuk,bhc,3.9
2016/17-2018/19,london,ahc,10
2016/17-2018/19,london,bhc,5.5
2016/17-2018/19,uk,ahc,5.5
2016/17-2018/19,uk,bhc,4.1
2016/17-2018/19,restuk,ahc,5.1
2016/17-2018/19,restuk,bhc,3.9
2017/18-2019/20,london,ahc,10.3
2017/18-2019/20,london,bhc,5.6
2017/18-2019/20,uk,ahc,5.5
2017/18-2019/20,uk,bhc,4.2
2017/18-2019/20,restuk,ahc,5.1
2017/18-2019/20,restuk,bhc,4
2018/19-2020/21,london,ahc,11
2018/19-2020/21,london,bhc,5.8
2018/19-2020/21,uk,ahc,5.6
2018/19-2020/21,uk,bhc,4.2
2018/19-2020/21,restuk,ahc,5.1
2018/19-2020/21,restuk,bhc,4
2019/20-2021/22,london,ahc,9.7
2019/20-2021/22,london,bhc,5.4
2019/20-2021/22,uk,ahc,5.4
2019/20-2021/22,uk,bhc,4.1
2019/20-2021/22,restuk,ahc,5
2019/20-2021/22,restuk,bhc,4
2020/21-2022/23,london,ahc,9
2020/21-2022/23,london,bhc,5.4
2020/21-2022/23,uk,ahc,5.2
2020/21-2022/23,uk,bhc,4.1
2020/21-2022/23,restuk,ahc,4.8
2020/21-2022/23,restuk,bhc,3.9
